Energy(ev),rate coefficient (1/(m3 s)),energy loss (eV/(m3 s)),computed energy loss,,Energy (eV),Rate coefficient (m3/s),Rate coefficient (m3/s)
1,1.41E-22,3.45E-19,2.26E-17,,1,2.91E-20,2.72E-18
2,3.94E-18,4.52E-16,3.04E-16,,2,3.08E-17,4.15E-16
3,1.08E-16,6.23E-15,4.77E-15,,3,4.15E-16,2.68E-15
4,5.98E-16,2.52E-14,2.11E-14,,4,1.66E-15,7.12E-15
5,1.72E-15,6.06E-14,5.37E-14,,5,3.95E-15,1.29E-14
6,3.58E-15,1.12E-13,1.03E-13,,6,7.12E-15,1.93E-14
7,6.10E-15,1.75E-13,1.65E-13,,7,1.09E-14,2.57E-14
8,9.19E-15,2.48E-13,2.36E-13,,8,1.50E-14,3.17E-14
9,1.27E-14,3.28E-13,3.15E-13,,9,1.93E-14,3.73E-14
10,1.66E-14,4.10E-13,3.97E-13,,10,2.36E-14,4.24E-14
11,2.08E-14,4.99E-13,4.83E-13,,11,2.77E-14,4.69E-14
12,2.51E-14,5.86E-13,5.68E-13,,12,3.17E-14,5.10E-14
13,2.96E-14,6.75E-13,6.54E-13,,13,3.55E-14,5.47E-14
14,3.41E-14,7.63E-13,7.38E-13,,14,3.91E-14,5.79E-14
15,3.86E-14,8.48E-13,8.20E-13,,15,4.24E-14,6.08E-14
16,4.32E-14,9.35E-13,9.02E-13,,16,4.55E-14,6.33E-14
17,4.79E-14,1.02E-12,9.82E-13,,17,4.84E-14,6.56E-14
18,5.23E-14,1.10E-12,1.06E-12,,18,5.10E-14,6.76E-14
19,5.69E-14,1.18E-12,1.13E-12,,19,5.35E-14,6.94E-14
20,6.08E-14,1.25E-12,1.20E-12,,20,5.58E-14,7.10E-14
21,6.57E-14,1.34E-12,1.28E-12,,21,5.79E-14,7.24E-14
22,7.00E-14,1.41E-12,1.35E-12,,22,5.98E-14,7.37E-14
23,7.43E-14,1.49E-12,1.41E-12,,23,6.17E-14,7.49E-14
24,7.83E-14,1.55E-12,1.48E-12,,24,6.33E-14,7.59E-14
25,8.25E-14,1.62E-12,1.54E-12,,25,6.49E-14,7.68E-14
26,8.66E-14,1.69E-12,1.60E-12,,26,6.63E-14,7.76E-14
27,9.06E-14,1.76E-12,1.66E-12,,27,6.76E-14,7.83E-14
28,9.45E-14,1.82E-12,1.72E-12,,28,6.88E-14,7.89E-14
29,9.84E-14,1.88E-12,1.77E-12,,29,7.00E-14,7.95E-14
30,1.01E-13,1.93E-12,1.82E-12,,30,7.10E-14,8.00E-14
31,1.06E-13,2.01E-12,1.88E-12,,31,7.20E-14,8.04E-14
32,1.09E-13,2.06E-12,1.93E-12,,32,7.29E-14,8.08E-14
33,1.13E-13,2.12E-12,1.98E-12,,33,7.37E-14,8.12E-14
34,1.17E-13,2.17E-12,2.03E-12,,34,7.45E-14,8.15E-14
35,1.20E-13,2.22E-12,2.08E-12,,35,7.52E-14,8.18E-14
36,1.23E-13,2.28E-12,2.12E-12,,36,7.59E-14,8.20E-14
37,1.27E-13,2.33E-12,2.17E-12,,37,7.65E-14,8.22E-14
38,1.30E-13,2.38E-12,2.22E-12,,38,7.70E-14,8.24E-14
39,1.33E-13,2.43E-12,2.26E-12,,39,7.76E-14,8.25E-14
40,1.36E-13,2.46E-12,2.29E-12,,40,7.81E-14,8.26E-14
41,1.39E-13,2.53E-12,2.34E-12,,41,7.85E-14,8.27E-14
