Excitation energy (eV): 8.32
Energy (eV)	Rate coefficient (m3/s)
1	4.13E-20
2	4.86E-17
3	5.91E-16
4	2.16E-15
5	4.78E-15
6	8.25E-15
7	1.21E-14
8	1.64E-14
9	2.09E-14
10	2.51E-14
11	2.97E-14
12	3.39E-14
13	3.80E-14
14	4.20E-14
15	4.57E-14
16	4.94E-14
17	5.28E-14
18	5.60E-14
19	5.89E-14
20	6.17E-14
21	6.54E-14
22	6.75E-14
23	7.09E-14
24	7.22E-14
25	7.45E-14
26	7.70E-14
27	7.96E-14
28	8.11E-14
29	8.26E-14
30	8.48E-14
31	8.72E-14
32	8.88E-14
33	9.02E-14
34	9.04E-14
35	9.20E-14
36	9.49E-14
37	9.50E-14
38	9.67E-14
39	9.83E-14
40	9.76E-14
41	1.02E-13
42	1.02E-13
43	1.01E-13
44	1.03E-13
45	1.05E-13
46	1.05E-13
47	1.05E-13
48	1.07E-13
49	1.08E-13
50	1.08E-13
51	1.09E-13
52	1.09E-13
53	1.10E-13
54	1.12E-13
55	1.14E-13
56	1.12E-13
57	1.13E-13
58	1.13E-13
59	1.15E-13
60	1.13E-13
61	1.16E-13
62	1.15E-13
63	1.16E-13
64	1.17E-13
65	1.17E-13
66	1.17E-13
67	1.16E-13
68	1.18E-13
69	1.18E-13
70	1.20E-13
71	1.21E-13
72	1.18E-13
73	1.19E-13
74	1.20E-13
75	1.21E-13
76	1.21E-13
77	1.21E-13
78	1.21E-13
79	1.22E-13
80	1.22E-13
81	1.22E-13
82	1.22E-13
83	1.22E-13
84	1.23E-13
85	1.23E-13
86	1.24E-13
87	1.23E-13
88	1.24E-13
89	1.24E-13
90	1.25E-13
91	1.26E-13
92	1.24E-13
93	1.25E-13
94	1.25E-13
95	1.25E-13
96	1.25E-13
97	1.25E-13
98	1.25E-13
99	1.25E-13
100	1.25E-13
101	1.26E-13
102	1.27E-13
103	1.25E-13
104	1.26E-13
105	1.26E-13
106	1.27E-13
107	1.26E-13
108	1.25E-13
109	1.27E-13
110	1.27E-13
111	1.28E-13
112	1.25E-13
113	1.26E-13
114	1.27E-13
115	1.27E-13
116	1.26E-13
117	1.27E-13
118	1.26E-13
119	1.28E-13
120	1.27E-13
121	1.28E-13
122	1.27E-13
123	1.27E-13
124	1.27E-13
125	1.27E-13
126	1.26E-13
127	1.26E-13
128	1.26E-13
129	1.27E-13
130	1.27E-13
131	1.28E-13
132	1.28E-13
133	1.27E-13
134	1.29E-13
135	1.27E-13
136	1.27E-13
137	1.27E-13
138	1.27E-13
139	1.28E-13
140	1.27E-13
141	1.26E-13
142	1.26E-13
143	1.27E-13
144	1.28E-13
145	1.25E-13
146	1.27E-13
147	1.26E-13
148	1.27E-13
149	1.27E-13
150	1.27E-13
