Ionization energy (eV): 12.13
Energy (eV)	Rate coefficient (m3/s)
1	1.41E-22
2	3.94E-18
3	1.08E-16
4	5.98E-16
5	1.72E-15
6	3.58E-15
7	6.10E-15
8	9.19E-15
9	1.27E-14
10	1.66E-14
11	2.08E-14
12	2.51E-14
13	2.96E-14
14	3.41E-14
15	3.86E-14
16	4.32E-14
17	4.79E-14
18	5.23E-14
19	5.69E-14
20	6.08E-14
21	6.57E-14
22	7.00E-14
23	7.43E-14
24	7.83E-14
25	8.25E-14
26	8.66E-14
27	9.06E-14
28	9.45E-14
29	9.84E-14
30	1.01E-13
31	1.06E-13
32	1.09E-13
33	1.13E-13
34	1.17E-13
35	1.20E-13
36	1.23E-13
37	1.27E-13
38	1.30E-13
39	1.33E-13
40	1.36E-13
41	1.39E-13
42	1.42E-13
43	1.46E-13
44	1.48E-13
45	1.51E-13
46	1.54E-13
47	1.57E-13
48	1.59E-13
49	1.62E-13
50	1.65E-13
51	1.68E-13
52	1.70E-13
53	1.73E-13
54	1.75E-13
55	1.77E-13
56	1.80E-13
57	1.82E-13
58	1.85E-13
59	1.87E-13
60	1.87E-13
61	1.91E-13
62	1.93E-13
63	1.96E-13
64	1.97E-13
65	2.00E-13
66	2.01E-13
67	2.04E-13
68	2.05E-13
69	2.08E-13
70	2.09E-13
71	2.11E-13
72	2.13E-13
73	2.15E-13
74	2.17E-13
75	2.18E-13
76	2.20E-13
77	2.22E-13
78	2.23E-13
79	2.25E-13
80	2.26E-13
81	2.29E-13
82	2.30E-13
83	2.32E-13
84	2.33E-13
85	2.35E-13
86	2.36E-13
87	2.38E-13
88	2.39E-13
89	2.41E-13
90	2.41E-13
91	2.43E-13
92	2.45E-13
93	2.46E-13
94	2.47E-13
95	2.49E-13
96	2.50E-13
97	2.51E-13
98	2.53E-13
99	2.54E-13
100	2.54E-13
101	2.56E-13
102	2.57E-13
103	2.59E-13
104	2.60E-13
105	2.61E-13
106	2.62E-13
107	2.63E-13
108	2.64E-13
109	2.65E-13
110	2.66E-13
111	2.67E-13
112	2.69E-13
113	2.70E-13
114	2.70E-13
115	2.72E-13
116	2.73E-13
117	2.74E-13
118	2.75E-13
119	2.75E-13
120	2.74E-13
121	2.77E-13
122	2.78E-13
123	2.79E-13
124	2.80E-13
125	2.81E-13
126	2.82E-13
127	2.83E-13
128	2.84E-13
129	2.84E-13
130	2.85E-13
131	2.86E-13
132	2.86E-13
133	2.88E-13
134	2.88E-13
135	2.89E-13
136	2.90E-13
137	2.91E-13
138	2.91E-13
139	2.92E-13
140	2.93E-13
141	2.94E-13
142	2.95E-13
143	2.95E-13
144	2.95E-13
145	2.97E-13
146	2.97E-13
147	2.98E-13
148	2.99E-13
149	2.99E-13
150	2.98E-13
