Energy (eV)	Rate coefficient (m^3/s)
0.0 0.0
1.0	1.7652019589294465e-14
2.0	6.286806105711669e-14
3.0	1.260621740782443e-13
4.0	1.879916985413993e-13
5.0	2.421697883866546e-13
6.0	2.878523500134384e-13
7.0	3.2602160860803316e-13
8.0	3.5797074104514955e-13
9.0	3.848817373512732e-13
10.0	4.0773186828191825e-13
11.0	4.273010605428649e-13
12.0	4.442043303835405e-13
13.0	4.589256836852115e-13
14.0	4.718475822936204e-13
15.0	4.83272463367763e-13
16.0	4.934428117390077e-13
17.0	5.025528662232679e-13
18.0	5.107599193761263e-13
19.0	5.181921348356949e-13
20.0	5.249546826253078e-13
21.0	5.311344907880108e-13
22.0	5.36803878060513e-13
23.0	5.420234765696676e-13
24.0	5.468444073339944e-13
25.0	5.513101097647091e-13
26.0	5.55457738544214e-13
27.0	5.593192208216847e-13
28.0	5.629222058807576e-13
29.0	5.662907709154431e-13
30.0	5.694459503265792e-13
31.0	5.724063232077035e-13
32.0	5.75188284382664e-13
33.0	5.778064031266481e-13
34.0	5.802736781935595e-13
35.0	5.826017818604945e-13
36.0	5.848012013519131e-13
37.0	5.868813881457948e-13
38.0	5.888509928373046e-13
39.0	5.907176832557614e-13
40.0	5.92488652835162e-13
41.0	5.941703668722898e-13
42.0	5.957687592891492e-13
43.0	5.97289305440539e-13
44.0	5.98736976567474e-13
45.0	6.001164182193675e-13
46.0	6.014318907545985e-13
47.0	6.026873096604268e-13
48.0	6.038863468166023e-13
49.0	6.050323539073783e-13
50.0	6.061284650645905e-13
51.0	6.071776052830177e-13
52.0	6.081824582218028e-13
53.0	6.091455700465663e-13
54.0	6.100692584969257e-13
55.0	6.109557237090424e-13
56.0	6.11807035567668e-13
57.0	6.126250218786271e-13
58.0	6.134115403667609e-13
59.0	6.141682619224979e-13
60.0	6.148966450033315e-13
61.0	6.155982687428435e-13
62.0	6.162744471894621e-13
63.0	6.169264840668533e-13
64.0	6.175555618680162e-13
65.0	6.181628363896631e-13
66.0	6.187493535057276e-13
67.0	6.19316111015766e-13
68.0	6.198640669179272e-13
69.0	6.203941117596574e-13
70.0	6.209070002363895e-13
71.0	6.214036054383782e-13
72.0	6.218846276963642e-13
73.0	6.22350778422588e-13
74.0	6.22802705933833e-13
75.0	6.232410210069726e-13
76.0	6.236663248582532e-13
77.0	6.240791676544597e-13
78.0	6.244800601259043e-13
79.0	6.248695077339965e-13
80.0	6.252479767195649e-13
81.0	6.256159045614159e-13
82.0	6.259737133735412e-13
83.0	6.263218533642504e-13
84.0	6.266605659892775e-13
85.0	6.269903195489756e-13
86.0	6.273114598776254e-13
87.0	6.276242352601235e-13
88.0	6.279290092060426e-13
89.0	6.282260541189862e-13
90.0	6.28515647685568e-13
91.0	6.287980588814616e-13
92.0	6.29073558497869e-13
93.0	6.293422938439337e-13
94.0	6.296046102973053e-13
95.0	6.298606545630089e-13
96.0	6.301106513599053e-13
97.0	6.303547978138221e-13
98.0	6.305932980988561e-13
99.0	6.308263108177303e-13
100.0	6.310540226931473e-13
101.0	6.312765601090733e-13
102.0	6.314941312667192e-13
103.0	6.317068770125048e-13
104.0	6.319149166867782e-13
105.0	6.321184201603472e-13
106.0	6.323174808630516e-13
107.0	6.325122912143614e-13
108.0	6.327029099918646e-13
109.0	6.328894815019778e-13
110.0	6.3307210873055e-13
111.0	6.332509076462864e-13
112.0	6.334259859219513e-13
113.0	6.335974439872573e-13
114.0	6.337653931225115e-13
115.0	6.339298989909547e-13
116.0	6.340910458010307e-13
117.0	6.342489476467818e-13
118.0	6.344036991252215e-13
119.0	6.345553616381826e-13
120.0	6.347039761025962e-13
121.0	6.348496683612899e-13
122.0	6.349925109039149e-13
123.0	6.351325756314003e-13
124.0	6.35269896049713e-13
125.0	6.354045704580045e-13
126.0	6.355366582520117e-13
127.0	6.356662178983996e-13
128.0	6.357933092812066e-13
129.0	6.359180032322305e-13
130.0	6.360403530039796e-13
131.0	6.361603516059988e-13
132.0	6.362781726041251e-13
133.0	6.363937909760815e-13
134.0	6.365072705355819e-13
135.0	6.36618659459483e-13
136.0	6.367280199131925e-13
137.0	6.36835377231556e-13
138.0	6.36940817411814e-13
139.0	6.370443108785248e-13
140.0	6.371459669185154e-13
141.0	6.372458227364015e-13
142.0	6.373438910092243e-13
143.0	6.374402331337745e-13
144.0	6.375349180471551e-13
145.0	6.376278875070242e-13
146.0	6.37719270862392e-13
147.0	6.378090808058012e-13
148.0	6.378973484716957e-13
149.0	6.379841247722147e-13
150.0	6.380694012653571e-13
