Energy (eV)     Rate coefficient (m^3/s)
0.0     0.000000e+00
1.0     6.415707e-14
2.0     9.360366e-14
3.0     1.093671e-13
4.0     1.207625e-13
5.0     1.303578e-13
6.0     1.387772e-13
7.0     1.461563e-13
8.0     1.527195e-13
9.0     1.585140e-13
10.0    1.636242e-13
11.0    1.681373e-13
12.0    1.721534e-13
13.0    1.757747e-13
14.0    1.789662e-13
15.0    1.818063e-13
16.0    1.843434e-13
17.0    1.865737e-13
18.0    1.885593e-13
19.0    1.903088e-13
20.0    1.918580e-13
21.0    1.931922e-13
22.0    1.943645e-13
23.0    1.954038e-13
24.0    1.962753e-13
25.0    1.970147e-13
26.0    1.976240e-13
27.0    1.981259e-13
28.0    1.985334e-13
29.0    1.988474e-13
30.0    1.990843e-13
31.0    1.992661e-13
32.0    1.993960e-13
33.0    1.994604e-13
34.0    1.994565e-13
35.0    1.993950e-13
36.0    1.993008e-13
37.0    1.991737e-13
38.0    1.990158e-13
39.0    1.988339e-13
40.0    1.986239e-13
41.0    1.983814e-13
42.0    1.981151e-13
43.0    1.978284e-13
44.0    1.975387e-13
45.0    1.972444e-13
46.0    1.969368e-13
47.0    1.966201e-13
48.0    1.962985e-13
49.0    1.959727e-13
50.0    1.956489e-13
51.0    1.953247e-13
52.0    1.950050e-13
53.0    1.946845e-13
54.0    1.943679e-13
55.0    1.940482e-13
56.0    1.937350e-13
57.0    1.934216e-13
58.0    1.931131e-13
59.0    1.928131e-13
60.0    1.925247e-13
61.0    1.922437e-13
62.0    1.919623e-13
63.0    1.916855e-13
64.0    1.914127e-13
65.0    1.911462e-13
66.0    1.908868e-13
67.0    1.906382e-13
68.0    1.903924e-13
69.0    1.901524e-13
70.0    1.899201e-13
71.0    1.896948e-13
72.0    1.894779e-13
73.0    1.892661e-13
74.0    1.890643e-13
75.0    1.888722e-13
76.0    1.886920e-13
77.0    1.885146e-13
78.0    1.883425e-13
79.0    1.881769e-13
80.0    1.880180e-13
81.0    1.878655e-13
82.0    1.877212e-13
83.0    1.875875e-13
84.0    1.874633e-13
85.0    1.873458e-13
86.0    1.872354e-13
87.0    1.871311e-13
88.0    1.870338e-13
89.0    1.869415e-13
90.0    1.868542e-13
91.0    1.867754e-13
92.0    1.867036e-13
93.0    1.866400e-13
94.0    1.865870e-13
95.0    1.865428e-13
96.0    1.865035e-13
97.0    1.864671e-13
98.0    1.864323e-13
99.0    1.864027e-13
100.0   1.863783e-13
