Energy (eV)	Rate coefficient (m3/s)
0.0 0.0
1.0	5.130755817456869e-14
2.0	1.2892031779428643e-13
3.0	2.2086872081433493e-13
4.0	3.0321916594999107e-13
5.0	3.7259073393367915e-13
6.0	4.3013981120017227e-13
7.0	4.776396327727905e-13
8.0	5.167351307806229e-13
9.0	5.48843192208721e-13
10.0	5.751634667357914e-13
11.0	5.96703464122228e-13
12.0	6.143039425069423e-13
13.0	6.28662672845026e-13
14.0	6.403565100884547e-13
15.0	6.498609410233126e-13
16.0	6.575672847880574e-13
17.0	6.637972893991139e-13
18.0	6.688156842220037e-13
19.0	6.728400173873514e-13
20.0	6.760494967682132e-13
21.0	6.785917810371375e-13
22.0	6.805886620428594e-13
23.0	6.821406905242602e-13
24.0	6.833310176543598e-13
25.0	6.84228434609829e-13
26.0	6.848898205379141e-13
27.0	6.853624322385865e-13
28.0	6.856853614195362e-13
29.0	6.858910517728921e-13
30.0	6.860063510334321e-13
31.0	6.860535464585282e-13
32.0	6.860510393266731e-13
33.0	6.860127195521219e-13
34.0	6.859551678362213e-13
35.0	6.858846833916589e-13
36.0	6.858110569714381e-13
37.0	6.85741192065627e-13
38.0	6.856806650450418e-13
39.0	6.856339987277251e-13
40.0	6.856047631022286e-13
41.0	6.855957669202935e-13
42.0	6.856091902897296e-13
43.0	6.856466946610907e-13
44.0	6.857094137380897e-13
45.0	6.857982332575731e-13
46.0	6.859136196713259e-13
47.0	6.860558612967079e-13
48.0	6.862249842711065e-13
49.0	6.86420877426228e-13
50.0	6.866432405805591e-13
51.0	6.868917022718917e-13
52.0	6.871658074011628e-13
53.0	6.874650328843024e-13
54.0	6.877887174147742e-13
55.0	6.881362539215282e-13
56.0	6.885069643663714e-13
57.0	6.889001589598606e-13
58.0	6.893151668909073e-13
59.0	6.897511700228347e-13
60.0	6.902075460397783e-13
61.0	6.906835795465923e-13
62.0	6.911785535915357e-13
63.0	6.916917850736314e-13
64.0	6.922225985467112e-13
65.0	6.927703296109029e-13
66.0	6.933343438122938e-13
67.0	6.939140070703664e-13
68.0	6.945086829644231e-13
69.0	6.951178739911181e-13
70.0	6.957409265742759e-13
71.0	6.963773094779215e-13
72.0	6.970265077912036e-13
73.0	6.976880114541342e-13
74.0	6.983613306592528e-13
75.0	6.990459731749668e-13
76.0	6.997415275435752e-13
77.0	7.004475378863028e-13
78.0	7.011635549013411e-13
79.0	7.018892523394129e-13
80.0	7.026241927400886e-13
81.0	7.033680268403447e-13
82.0	7.041204077440606e-13
83.0	7.048809967254568e-13
84.0	7.056494696291854e-13
85.0	7.064255332801688e-13
86.0	7.072088824571491e-13
87.0	7.079992368227576e-13
88.0	7.087963498906956e-13
89.0	7.095999285458315e-13
90.0	7.104097580854343e-13
91.0	7.112256203608216e-13
92.0	7.120472285070097e-13
93.0	7.128744303853893e-13
94.0	7.137069909270356e-13
95.0	7.145447383679452e-13
96.0	7.153874698177778e-13
97.0	7.162350066054545e-13
98.0	7.170872127925304e-13
99.0	7.179438528549923e-13
100.0	7.188048405344664e-13
101.0	7.196700092126975e-13
102.0	7.205392035104476e-13
103.0	7.214122912934333e-13
104.0	7.222891474352403e-13
105.0	7.231696486405482e-13
106.0	7.240537042951121e-13
107.0	7.249411096036322e-13
108.0	7.258318509110111e-13
109.0	7.267257934517776e-13
110.0	7.276228175211895e-13
111.0	7.285228489079237e-13
112.0	7.294258106661064e-13
113.0	7.303315546429671e-13
114.0	7.312401064949636e-13
115.0	7.321511952774692e-13
116.0	7.330649230701254e-13
117.0	7.339811507996889e-13
118.0	7.348998378768101e-13
119.0	7.358208391316062e-13
120.0	7.367441523735781e-13
121.0	7.376697179770151e-13
122.0	7.385974075006741e-13
123.0	7.39527228788841e-13
124.0	7.404591160649639e-13
125.0	7.413929902975897e-13
126.0	7.423287979046023e-13
127.0	7.432665185890605e-13
128.0	7.442060791479476e-13
129.0	7.451474259591228e-13
130.0	7.460905354387556e-13
131.0	7.470353562038812e-13
132.0	7.479818258947141e-13
133.0	7.489299289298352e-13
134.0	7.498795994138285e-13
135.0	7.508308215392059e-13
136.0	7.517835599728257e-13
137.0	7.527377544305325e-13
138.0	7.536933814584587e-13
139.0	7.546504446483993e-13
140.0	7.556089403467031e-13
141.0	7.565685240088807e-13
142.0	7.575295757813621e-13
143.0	7.584918894982691e-13
144.0	7.594554173863802e-13
145.0	7.60420183823863e-13
146.0	7.613861257615557e-13
147.0	7.62353211599334e-13
148.0	7.633214712964449e-13
149.0	7.642908209563957e-13
150.0	7.652612330904358e-13
