Excitation energy (eV): 9.99
Energy (eV)	Rate coefficient (m3/s)
0.0	0.000000000000e+00
0.5	0.000000000000e+00
1.0	0.000000000000e+00
1.5	2.211148803379e-18
2.0	2.215964492792e-17
2.5	7.710244249249e-17
3.0	1.657623715179e-16
3.5	3.336628786488e-16
4.0	5.946534446455e-16
4.5	9.686420866431e-16
5.0	1.483776691118e-15
5.5	2.073763751997e-15
6.0	2.720353455853e-15
6.5	3.430231355331e-15
7.0	4.211486068055e-15
7.5	5.048081472262e-15
8.0	5.927363415658e-15
8.5	6.835602496237e-15
9.0	7.741710599617e-15
9.5	8.655958239141e-15
10.0	9.591210284114e-15
12.0	1.325244652596e-14
14.0	1.663430971924e-14
16.0	1.970300893816e-14
18.0	2.248400283074e-14
20.0	2.501975931944e-14
22.0	2.731817393190e-14
24.0	2.938978834533e-14
26.0	3.127681454151e-14
28.0	3.299811064739e-14
30.0	3.460288008152e-14
35.0	3.807585496590e-14
40.0	4.091700716309e-14
45.0	4.334583496299e-14
50.0	4.549186379402e-14
55.0	4.735317920172e-14
60.0	4.896527014650e-14
70.0	5.166829115049e-14
80.0	5.389175406870e-14
90.0	5.583759131532e-14
100.0	5.761548967249e-14
110.0	5.921848260340e-14
120.0	6.068895758962e-14
130.0	6.205264200939e-14
140.0	6.338163227418e-14
150.0	6.468173538315e-14
