Excitation energy (eV): 8.32
Energy (eV)	Rate coefficient (m3/s)
1.0	2.909965013767145e-20
2.0	3.078734312855916e-17
3.0	4.1547515755380286e-16
4.0	1.6649256403317016e-15
5.0	3.9526948476759076e-15
6.0	7.124788357557455e-15
7.0	1.0908925177391674e-14
8.0	1.5042335588913955e-14
9.0	1.9316662863621785e-14
10.0	2.3582514835893516e-14
11.0	2.7739945860251067e-14
12.0	3.172632653723294e-14
13.0	3.550566490205979e-14
14.0	3.906029741805803e-14
15.0	4.2384822455802696e-14
16.0	4.548179695289427e-14
17.0	4.8358754081997275e-14
18.0	5.1026169053654286e-14
19.0	5.349608884945153e-14
20.0	5.578121624167219e-14
21.0	5.789432703974602e-14
22.0	5.984788652424961e-14
23.0	6.165381851599268e-14
24.0	6.332338701996413e-14
25.0	6.486712691639983e-14
26.0	6.629482447317135e-14
27.0	6.761553252357303e-14
28.0	6.88375872952547e-14
29.0	6.996866564855698e-14
30.0	7.10157948039561e-14
31.0	7.198544103037248e-14
32.0	7.288351490074453e-14
33.0	7.371543596189286e-14
34.0	7.448616788348482e-14
35.0	7.520026312613827e-14
36.0	7.586189100363518e-14
37.0	7.647487727089174e-14
38.0	7.70427309914565e-14
39.0	7.756867846182771e-14
40.0	7.805568221025079e-14
41.0	7.850646767005456e-14
42.0	7.892354154822046e-14
43.0	7.930922029957043e-14
44.0	7.966562725879847e-14
45.0	7.999473427250091e-14
46.0	8.029835597629395e-14
47.0	8.057817266437221e-14
48.0	8.083573614884894e-14
49.0	8.107248562129916e-14
50.0	8.128975696965179e-14
51.0	8.148878162023414e-14
52.0	8.167071391640713e-14
53.0	8.183661645275902e-14
54.0	8.198748046962335e-14
55.0	8.21242313366528e-14
56.0	8.224772752414217e-14
57.0	8.235877109383014e-14
58.0	8.245811036968768e-14
59.0	8.254643265298547e-14
60.0	8.262440372740215e-14
61.0	8.269262356630388e-14
62.0	8.275166350016548e-14
63.0	8.280205586726199e-14
64.0	8.28442997143127e-14
65.0	8.287886290520047e-14
66.0	8.29061817527122e-14
67.0	8.292667135160224e-14
68.0	8.294071472094797e-14
69.0	8.294867230938316e-14
70.0	8.295089117792481e-14
71.0	8.29476872484327e-14
72.0	8.293936174541058e-14
73.0	8.292619917729023e-14
74.0	8.29084674660203e-14
75.0	8.288641643444648e-14
76.0	8.286028594678227e-14
77.0	8.283029650709416e-14
78.0	8.279666108021908e-14
79.0	8.275957892206811e-14
80.0	8.271923790309684e-14
81.0	8.26758157816269e-14
82.0	8.262947955432807e-14
83.0	8.258038934331531e-14
84.0	8.252869426509407e-14
85.0	8.247453550142711e-14
86.0	8.241805223267401e-14
87.0	8.235936606755e-14
88.0	8.229860023538372e-14
89.0	8.223586863436747e-14
90.0	8.217127881805935e-14
91.0	8.210493478843387e-14
92.0	8.203693747956849e-14
93.0	8.196736628891433e-14
94.0	8.189631979177497e-14
95.0	8.182388084267563e-14
96.0	8.175012591713051e-14
97.0	8.16751296644452e-14
98.0	8.159896655898517e-14
99.0	8.15217047240569e-14
100.0	8.144339610474207e-14
101.0	8.136411810771295e-14
102.0	8.128392038070827e-14
103.0	8.120286123157059e-14
104.0	8.11209908660706e-14
105.0	8.103836227032015e-14
106.0	8.095502298678153e-14
107.0	8.0871014004961e-14
108.0	8.078638334589975e-14
109.0	8.070117067384942e-14
110.0	8.061541509849272e-14
111.0	8.05291544676678e-14
112.0	8.044242356887603e-14
113.0	8.035525724071666e-14
114.0	8.026769210053763e-14
115.0	8.017974512390073e-14
116.0	8.009145984363207e-14
117.0	8.000285959790201e-14
118.0	7.99139787279501e-14
119.0	7.982482030958068e-14
120.0	7.973543168331735e-14
121.0	7.964582750140718e-14
122.0	7.955603171140504e-14
123.0	7.946606414207638e-14
124.0	7.937594542222647e-14
125.0	7.928569514995865e-14
126.0	7.919533427144961e-14
127.0	7.910487311504128e-14
128.0	7.901433670648912e-14
129.0	7.892373649318207e-14
130.0	7.883308950107936e-14
131.0	7.874241115735989e-14
132.0	7.865171415890144e-14
133.0	7.85610125143329e-14
134.0	7.847031913405108e-14
135.0	7.837964591071442e-14
136.0	7.828900528100013e-14
137.0	7.819840846365568e-14
138.0	7.810786505779558e-14
139.0	7.801738486349152e-14
140.0	7.79269830369842e-14
141.0	7.783666294832805e-14
142.0	7.774643543521363e-14
143.0	7.765630997547829e-14
144.0	7.756629288520141e-14
145.0	7.747639383964754e-14
146.0	7.73866188935461e-14
147.0	7.729697798801776e-14
148.0	7.720747645776296e-14
149.0	7.71181169053229e-14
150.0	7.702891199553481e-14
