Ionization energy (eV): 15.75962
Energy (eV)	Rate coefficient (m3/s)
0.0	0.0
1.0	0.0
2.0	2.662832391109712e-19
3.0	7.995620047130785e-18
4.0	7.282803165029276e-17
5.0	2.801450328324192e-16
6.0	7.157706231091933e-16
7.0	1.4234987761302773e-15
8.0	2.428405345903406e-15
9.0	3.717561595016411e-15
10.0	5.255314784241689e-15
11.0	7.00621391867143e-15
12.0	8.929868276377962e-15
13.0	1.0992133987333563e-14
14.0	1.3158578611946686e-14
15.0	1.539862454733869e-14
16.0	1.7687573246224106e-14
17.0	2.0008342374850177e-14
18.0	2.2351449353678528e-14
19.0	2.4698226252453658e-14
20.0	2.7037083508157657e-14
21.0	2.935991365336005e-14
22.0	3.1662569847705535e-14
23.0	3.393434696323263e-14
24.0	3.6174813423187377e-14
25.0	3.838302423024083e-14
26.0	4.055229428288722e-14
27.0	4.26811841785661e-14
28.0	4.476787765073725e-14
29.0	4.681439910958984e-14
30.0	4.881952071104642e-14
31.0	5.078330664705138e-14
32.0	5.270404660078684e-14
33.0	5.458520144924281e-14
34.0	5.643100182822301e-14
35.0	5.823706748375901e-14
36.0	6.000340343348573e-14
37.0	6.173058687330585e-14
38.0	6.342010617483282e-14
39.0	6.507480314438051e-14
40.0	6.669502402523509e-14
41.0	6.828046598446902e-14
42.0	6.983053504606949e-14
43.0	7.134585830997359e-14
44.0	7.282963828877549e-14
45.0	7.428300154845072e-14
46.0	7.57052684502961e-14
47.0	7.709906721662886e-14
48.0	7.846376979242027e-14
49.0	7.980109775561087e-14
50.0	8.111090082406669e-14
51.0	8.239207206656684e-14
52.0	8.364708249452737e-14
53.0	8.487670666848241e-14
54.0	8.608220909615395e-14
55.0	8.726444088326744e-14
56.0	8.842393193670662e-14
57.0	8.956095688005257e-14
58.0	9.067511880740611e-14
59.0	9.176721594417503e-14
60.0	9.283883726830682e-14
61.0	9.38904846496216e-14
62.0	9.492290520558571e-14
63.0	9.59366469734847e-14
64.0	9.693138744313958e-14
65.0	9.790819571280464e-14
66.0	9.886685513868487e-14
67.0	9.980776105658315e-14
68.0	1.0073129888986457e-13
69.0	1.0163797764095109e-13
70.0	1.0252819862556585e-13
71.0	1.0340261828014473e-13
72.0	1.0426182778460944e-13
73.0	1.0510585458136068e-13
74.0	1.0593483477093807e-13
75.0	1.0675005662646786e-13
76.0	1.075517270676575e-13
77.0	1.0834009038407399e-13
78.0	1.091154120958037e-13
79.0	1.0987765876177477e-13
80.0	1.1062657294425932e-13
81.0	1.1136323968218785e-13
82.0	1.1208755925468678e-13
83.0	1.127998422898805e-13
84.0	1.1350069730997859e-13
85.0	1.1418988724626192e-13
86.0	1.1486779129607507e-13
87.0	1.15535210736456e-13
88.0	1.1619167461524266e-13
89.0	1.1683771197798762e-13
90.0	1.1747350040901565e-13
91.0	1.1809833905442363e-13
92.0	1.187133091359673e-13
93.0	1.193187535964323e-13
94.0	1.1991480630194392e-13
95.0	1.2050143753065883e-13
96.0	1.2107872604353466e-13
97.0	1.216470673944521e-13
98.0	1.2220660367315195e-13
99.0	1.2275729764030598e-13
100.0	1.2329962692833471e-13
101.0	1.2383362271868506e-13
102.0	1.2435938030062237e-13
103.0	1.2487720646561878e-13
104.0	1.253875171070998e-13
105.0	1.2589059100678073e-13
106.0	1.2638604832784846e-13
107.0	1.2687425161053017e-13
108.0	1.2735543761718532e-13
109.0	1.2782947502032211e-13
110.0	1.2829665153689603e-13
111.0	1.2875729608934733e-13
112.0	1.2921135465380704e-13
113.0	1.2965861009700643e-13
114.0	1.3009933067108163e-13
115.0	1.3053363955515235e-13
116.0	1.309613751446229e-13
117.0	1.3138275130824903e-13
118.0	1.3179825612850548e-13
119.0	1.3220830232632458e-13
