Ionization energy (eV): 43.38929
Energy (eV)	Rate coefficient (m3/s)
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	3.906415440815271e-22
6.0	3.758832407244464e-20
7.0	2.4556436579860957e-19
8.0	8.297955400852649e-19
9.0	2.185503825499569e-18
10.0	5.19475469427313e-18
11.0	1.0945164047238667e-17
12.0	2.0343762659943643e-17
13.0	3.373392376180427e-17
14.0	5.1316989261979295e-17
15.0	7.351806796514873e-17
16.0	1.0118677884434164e-16
17.0	1.3468057943069819e-16
18.0	1.7417096698006262e-16
19.0	2.1961741084596278e-16
20.0	2.707173172294029e-16
21.0	3.2744649582157927e-16
22.0	3.895567666430665e-16
23.0	4.572547478698262e-16
24.0	5.296879884090716e-16
25.0	6.068550698480192e-16
26.0	6.882511481420173e-16
27.0	7.732975200412845e-16
28.0	8.616539612277775e-16
29.0	9.526781561215335e-16
30.0	1.0463000587522288e-15
31.0	1.142151108460049e-15
32.0	1.239824200981106e-15
33.0	1.3392780861839746e-15
34.0	1.4401786924774596e-15
35.0	1.5422667990454305e-15
36.0	1.6453887650716186e-15
37.0	1.7493715362149864e-15
38.0	1.8539469108512474e-15
39.0	1.958893398355239e-15
40.0	2.0640589820437253e-15
41.0	2.169466900683408e-15
42.0	2.274725748385013e-15
43.0	2.3796218807815303e-15
44.0	2.4841118839437414e-15
45.0	2.5883830206422258e-15
46.0	2.6920778058910552e-15
47.0	2.7950823927572432e-15
48.0	2.8972470252205198e-15
49.0	2.9984906586679707e-15
50.0	3.0988305853418294e-15
51.0	3.198357792045272e-15
52.0	3.2970008952629147e-15
53.0	3.394458468043616e-15
54.0	3.490881147368992e-15
55.0	3.586224206328782e-15
56.0	3.680469589763822e-15
57.0	3.773481836224744e-15
58.0	3.86542141501746e-15
59.0	3.956135251855561e-15
60.0	4.045707175147899e-15
61.0	4.134003677930769e-15
62.0	4.2212336638738706e-15
63.0	4.307157905002142e-15
64.0	4.391831139314591e-15
65.0	4.475278883892563e-15
66.0	4.5575976922731455e-15
67.0	4.63873717547398e-15
68.0	4.7187654037224366e-15
69.0	4.797447971244492e-15
70.0	4.8748450425082756e-15
71.0	4.951108290644507e-15
72.0	5.0260825968995e-15
73.0	5.099845789343912e-15
74.0	5.1724259967879085e-15
75.0	5.243930635651853e-15
76.0	5.314450401496782e-15
77.0	5.383868348187547e-15
78.0	5.452022307940462e-15
79.0	5.518987320972968e-15
80.0	5.585001062350277e-15
81.0	5.650023300196247e-15
82.0	5.714011829155152e-15
83.0	5.777002846243028e-15
84.0	5.8390109529311e-15
85.0	5.8999701181789275e-15
86.0	5.9598508069363654e-15
87.0	6.01877972596893e-15
88.0	6.076898989173868e-15
89.0	6.13415734529629e-15
90.0	6.190579618844108e-15
91.0	6.246101594537936e-15
92.0	6.300765725440057e-15
93.0	6.354653876553207e-15
94.0	6.407643117789384e-15
95.0	6.459618618728274e-15
96.0	6.5107674914338245e-15
97.0	6.561162160933848e-15
98.0	6.6107497826778716e-15
99.0	6.659539700466349e-15
100.0	6.707496391275814e-15
101.0	6.7547486703756956e-15
102.0	6.801241564239743e-15
103.0	6.8470088216204625e-15
104.0	6.8920350516661326e-15
105.0	6.936272505513608e-15
106.0	6.979688503756544e-15
107.0	7.022301854257843e-15
108.0	7.064186423175033e-15
109.0	7.105379712140915e-15
110.0	7.145963993311334e-15
111.0	7.185887679865555e-15
112.0	7.225125830186916e-15
113.0	7.26369365715541e-15
114.0	7.301575967859233e-15
115.0	7.338824608434638e-15
116.0	7.37539333640763e-15
117.0	7.41131486771621e-15
118.0	7.446662696768654e-15
119.0	7.481520216089922e-15
120.0	7.515865604504963e-15
121.0	7.549627609848112e-15
122.0	7.582814040712388e-15
