Ionization energy (eV): 84.12929
Energy (eV)	Rate coefficient (m/s)
0.0	0.0
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	3.0962471471401616e-23
11.0	1.1309653560130934e-21
12.0	3.0065368293725532e-21
13.0	5.366511750194143e-21
14.0	1.0388316359717628e-20
15.0	1.9230863068460076e-20
16.0	3.687739396426032e-20
17.0	6.324418392157175e-20
18.0	1.0784502835261079e-19
19.0	1.8027905431028146e-19
20.0	2.806034494000372e-19
21.0	4.193996397013069e-19
22.0	6.066518467041716e-19
23.0	8.383013694592525e-19
24.0	1.118152482068647e-18
25.0	1.4510817831692633e-18
26.0	1.838175302027012e-18
27.0	2.285084298136955e-18
28.0	2.792019149804222e-18
29.0	3.3543771515231713e-18
30.0	3.984282759114896e-18
31.0	4.681765332809651e-18
32.0	5.44956325551952e-18
33.0	6.290588592614567e-18
34.0	7.206095794593858e-18
35.0	8.197807119642892e-18
36.0	9.257804976330972e-18
37.0	1.0383565961264414e-17
38.0	1.1573346255761074e-17
39.0	1.2828191756035005e-17
40.0	1.4140737170545327e-17
41.0	1.551660581555249e-17
42.0	1.6947156477888132e-17
43.0	1.8431719268087755e-17
44.0	1.9976049419104415e-17
45.0	2.1574723201069732e-17
46.0	2.32183653625131e-17
47.0	2.4915751380892708e-17
48.0	2.6658921627232803e-17
49.0	2.844397747170915e-17
50.0	3.027063702420356e-17
51.0	3.213254562892399e-17
52.0	3.4027530175359665e-17
53.0	3.595017625853358e-17
54.0	3.7905305238562055e-17
55.0	3.989356583001895e-17
56.0	4.191582033598931e-17
57.0	4.3964691339516376e-17
58.0	4.6036593394566216e-17
59.0	4.812852014142317e-17
60.0	5.0245392093800384e-17
61.0	5.238636350904637e-17
62.0	5.4550989321692787e-17
63.0	5.673634614201924e-17
64.0	5.894258158950777e-17
65.0	6.116686585391379e-17
66.0	6.341034773025912e-17
67.0	6.566610567590304e-17
68.0	6.792804117052866e-17
69.0	7.020506530321253e-17
70.0	7.249789521613205e-17
71.0	7.480480561822328e-17
72.0	7.712652127363959e-17
73.0	7.945284795621173e-17
74.0	8.178809915387779e-17
75.0	8.413223001756271e-17
76.0	8.648152079676931e-17
77.0	8.883207150717966e-17
78.0	9.118668703795627e-17
79.0	9.35468015429728e-17
80.0	9.591423949279764e-17
81.0	9.82872685915906e-17
82.0	1.006661551407058e-16
83.0	1.030445302952139e-16
84.0	1.0542422976022335e-16
85.0	1.0780462244675858e-16
86.0	1.1018449818305839e-16
87.0	1.1255977374853574e-16
88.0	1.149359782022796e-16
89.0	1.1731426548247273e-16
90.0	1.1969146857903176e-16
91.0	1.2206886631192949e-16
92.0	1.2444171859347392e-16
93.0	1.2681104838089787e-16
94.0	1.2917733102956036e-16
95.0	1.3154291706464838e-16
96.0	1.339017799848355e-16
97.0	1.3625481311397596e-16
98.0	1.3860750338529844e-16
99.0	1.4095605767142324e-16
100.0	1.433002891439478e-16
101.0	1.4564045483248384e-16
102.0	1.4797132208593174e-16
103.0	1.502987315018418e-16
104.0	1.5262587524903575e-16
105.0	1.549512615741612e-16
106.0	1.5727223523401547e-16
107.0	1.595912479786749e-16
108.0	1.619051021192493e-16
109.0	1.6421612293713794e-16
110.0	1.665275872460443e-16
111.0	1.6883162030253738e-16
112.0	1.711322403711861e-16
113.0	1.7342752043587283e-16
114.0	1.7572093670696146e-16
115.0	1.7800688704989335e-16
116.0	1.8028618458846947e-16
117.0	1.825622208842519e-16
118.0	1.8482890783085163e-16
119.0	1.8709055708372059e-16
120.0	1.8934359702141984e-16
121.0	1.9159165833485317e-16
122.0	1.9383504398932372e-16
123.0	1.960705258362486e-16
