Ionization energy (eV): 24.35984
Energy (eV)	Rate coefficient (m3/s)
1.0	8.75988032567688e-26
2.0	5.392191098185463e-21
3.0	3.6711332944320123e-19
4.0	5.3522952149931025e-18
5.0	3.235693137583776e-17
6.0	1.1402857425312426e-16
7.0	2.874682778792663e-16
8.0	5.826789275959826e-16
9.0	1.01747893908077e-15
10.0	1.597790978753822e-15
11.0	2.320322503735644e-15
12.0	3.175641443619531e-15
13.0	4.150780682650223e-15
14.0	5.231156539967445e-15
15.0	6.401862341950802e-15
16.0	7.648479502958757e-15
17.0	8.957544563126203e-15
18.0	1.0316781805254073e-14
19.0	1.1715192132870053e-14
20.0	1.3143045050852144e-14
21.0	1.4591815930514877e-14
22.0	1.605409989267478e-14
23.0	1.7523508045713653e-14
24.0	1.899456128457375e-14
25.0	2.046258915538772e-14
26.0	2.1923632893971372e-14
27.0	2.3374358298201795e-14
28.0	2.4811975529294556e-14
29.0	2.6234168857210723e-14
30.0	2.7639030101213625e-14
31.0	2.9025009395009666e-14
32.0	3.039086059027862e-14
33.0	3.173560257320695e-14
34.0	3.305848150047381e-14
35.0	3.435892771164082e-14
36.0	3.563655416768163e-14
37.0	3.689110534610126e-14
38.0	3.812244661470324e-14
39.0	3.9330545865539426e-14
40.0	4.0515462634620616e-14
41.0	4.1677321631660965e-14
42.0	4.281631314768571e-14
43.0	4.393268684274957e-14
44.0	4.5026694333904097e-14
45.0	4.609868277656299e-14
46.0	4.7148985403329983e-14
47.0	4.817796571804203e-14
48.0	4.9186013217791364e-14
49.0	5.017351878145424e-14
50.0	5.114088990709718e-14
51.0	5.208853866849066e-14
52.0	5.3016881551778944e-14
53.0	5.392633667362359e-14
54.0	5.481732168361106e-14
55.0	5.5690252497640393e-14
56.0	5.654554144704714e-14
57.0	5.738359592930872e-14
58.0	5.820482180849087e-14
59.0	5.900961674537168e-14
60.0	5.979836750793997e-14
61.0	6.057146312575192e-14
62.0	6.13292757924325e-14
63.0	6.207217561583107e-14
64.0	6.280052617625991e-14
65.0	6.351467677815195e-14
66.0	6.421497245001148e-14
67.0	6.490174985168309e-14
68.0	6.557533734288002e-14
69.0	6.623605265728329e-14
70.0	6.688421271386771e-14
71.0	6.752011139303879e-14
72.0	6.814405250207666e-14
73.0	6.875632102567655e-14
74.0	6.935719501007161e-14
75.0	6.994695020058332e-14
76.0	7.052584708012845e-14
77.0	7.109414764365816e-14
78.0	7.16521012002784e-14
79.0	7.219994864174767e-14
80.0	7.273792853954781e-14
81.0	7.326627141431608e-14
82.0	7.378520016927182e-14
83.0	7.429493294357522e-14
84.0	7.479568152467058e-14
85.0	7.5287648349217e-14
86.0	7.577103990606052e-14
87.0	7.624604277509186e-14
88.0	7.671285000833117e-14
89.0	7.717164512995172e-14
90.0	7.762260623991097e-14
91.0	7.806590617164237e-14
92.0	7.850171428471254e-14
93.0	7.893019402921093e-14
94.0	7.935151104483756e-14
95.0	7.97658105663978e-14
96.0	8.017324912735609e-14
97.0	8.057397469691602e-14
98.0	8.09681301658586e-14
99.0	8.135585191026067e-14
100.0	8.173727847637124e-14
101.0	8.211254111248734e-14
102.0	8.248176774575749e-14
103.0	8.284508451249772e-14
104.0	8.320261011917613e-14
105.0	8.355446885301823e-14
106.0	8.390077081143345e-14
107.0	8.424163333337457e-14
108.0	8.457716304580986e-14
109.0	8.490746572940018e-14
110.0	8.523264919227171e-14
111.0	8.555281239572196e-14
112.0	8.586805654548338e-14
113.0	8.617847687913136e-14
114.0	8.648416708297916e-14
115.0	8.678522101222775e-14
116.0	8.708172695714616e-14
117.0	8.73737718544162e-14
118.0	8.766143653388441e-14
119.0	8.794481986561438e-14
120.0	8.822399117425953e-14
121.0	8.849902614405527e-14
122.0	8.877001146030182e-14
123.0	8.903701636175124e-14
124.0	8.930012009233199e-14
125.0	8.955939247877072e-14
126.0	8.981490020063545e-14
127.0	9.006671739048954e-14
128.0	9.031491034128354e-14
129.0	9.05595449595688e-14
130.0	9.080068553309262e-14
131.0	9.103839230100195e-14
132.0	9.127273176469866e-14
133.0	9.150375797839906e-14
134.0	9.173153511297589e-14
135.0	9.195611896836302e-14
136.0	9.217756495370559e-14
137.0	9.23959279105443e-14
138.0	9.26112621810216e-14
139.0	9.282362471552882e-14
140.0	9.303305766079892e-14
141.0	9.323962402451142e-14
142.0	9.344336381720851e-14
143.0	9.36443294648183e-14
144.0	9.384256436302683e-14
145.0	9.403811962267977e-14
146.0	9.423103944982292e-14
147.0	9.442136816121335e-14
148.0	9.460915023598815e-14
149.0	9.47944249453363e-14
150.0	9.497723777769797e-14
