Ionization energy (eV): 35.838
Energy (eV)	Rate coefficient (m3/s)
1.0	9.517459786979639e-29
2.0	4.631717582243601e-22
3.0	7.154059660940184e-20
4.0	9.100124182191682e-19
5.0	4.735477040435979e-18
6.0	1.6370016374913e-17
7.0	4.393071218866082e-17
8.0	9.778523809102856e-17
9.0	1.8844375691245332e-16
10.0	3.247386403827337e-16
11.0	5.128631708983006e-16
12.0	7.561827567533482e-16
13.0	1.0555227274062168e-15
14.0	1.409666761514585e-15
15.0	1.815897304510843e-15
16.0	2.2704837980983035e-15
17.0	2.7690871303542478e-15
18.0	3.3070732658140304e-15
19.0	3.879743088835445e-15
20.0	4.48249491086524e-15
21.0	5.110933096653817e-15
22.0	5.760934247515294e-15
23.0	6.428686105254595e-15
24.0	7.110701846089062e-15
25.0	7.803821836784829e-15
26.0	8.505204216273e-15
27.0	9.212308312280917e-15
28.0	9.922877906771028e-15
29.0	1.0634917151788803e-14
30.0	1.1346670251299267e-14
31.0	1.2056599426263752e-14
32.0	1.2763364409481544e-14
33.0	1.3465800979175781e-14
34.0	1.4162907361558352e-14
35.0	1.485381980792797e-14
36.0	1.553780394594503e-14
37.0	1.621423730039499e-14
38.0	1.6882597119407072e-14
39.0	1.754244904748943e-14
40.0	1.8193436596329177e-14
41.0	1.883527218646153e-14
42.0	1.9467729908869917e-14
43.0	2.009063564734087e-14
44.0	2.0703866497970217e-14
45.0	2.1307323461818604e-14
46.0	2.19009683696768e-14
47.0	2.2484778809741177e-14
48.0	2.3058763265599398e-14
49.0	2.3622951521588835e-14
50.0	2.4177395832981387e-14
51.0	2.4722164880552738e-14
52.0	2.5257341801148493e-14
53.0	2.57830254469202e-14
54.0	2.629838936599333e-14
55.0	2.6806346286893615e-14
56.0	2.7304224751654468e-14
57.0	2.7793086159912188e-14
58.0	2.827306714565149e-14
59.0	2.8744305621907015e-14
60.0	2.920694549925443e-14
61.0	2.966113042090598e-14
62.0	3.010700619331555e-14
63.0	3.054472222977551e-14
64.0	3.097442305405261e-14
65.0	3.1396259082891953e-14
66.0	3.1810378081635315e-14
67.0	3.221692520749218e-14
68.0	3.261604620271583e-14
69.0	3.3007881495289865e-14
70.0	3.339258799654534e-14
71.0	3.377029219169979e-14
72.0	3.414113877268637e-14
73.0	3.450526432486138e-14
74.0	3.486280532170031e-14
75.0	3.521389185131299e-14
76.0	3.5558657826903487e-14
77.0	3.589723078470248e-14
78.0	3.622973697529684e-14
79.0	3.6556299402454116e-14
80.0	3.687703988423934e-14
81.0	3.719207800828224e-14
82.0	3.750152916963777e-14
83.0	3.7805509309283255e-14
84.0	3.810412920018423e-14
85.0	3.839749780377622e-14
86.0	3.868572331672619e-14
87.0	3.8968910010566215e-14
88.0	3.924716028995982e-14
89.0	3.9520574770355556e-14
90.0	3.9789250128540596e-14
91.0	4.0053287006605074e-14
92.0	4.031277425461424e-14
93.0	4.056780546290012e-14
94.0	4.081846990189876e-14
95.0	4.1064854560898236e-14
96.0	4.130704562377474e-14
97.0	4.1545127782382745e-14
98.0	4.17791816791132e-14
99.0	4.200928814650289e-14
100.0	4.2235523910925256e-14
101.0	4.245796654052449e-14
102.0	4.267669061192449e-14
103.0	4.289176946354433e-14
104.0	4.310327313013364e-14
105.0	4.3311272955208514e-14
106.0	4.351583521215898e-14
107.0	4.3717028056222906e-14
108.0	4.39149154022216e-14
109.0	4.410956262362704e-14
110.0	4.430103114464919e-14
111.0	4.44893812805517e-14
112.0	4.4674672673569066e-14
113.0	4.4856964508005094e-14
114.0	4.5036313360874983e-14
115.0	4.521277393653746e-14
116.0	4.5386401152324693e-14
117.0	4.5557249554819134e-14
118.0	4.572536963113185e-14
119.0	4.5890812868364585e-14
120.0	4.6053629269733e-14
121.0	4.621386741246589e-14
122.0	4.637157574945236e-14
123.0	4.652680006883955e-14
124.0	4.6679586959427913e-14
125.0	4.6829980483342156e-14
126.0	4.697802495035109e-14
127.0	4.712376239266548e-14
128.0	4.7267237930430453e-14
129.0	4.74084871348809e-14
130.0	4.7547557378907527e-14
131.0	4.76844797141098e-14
132.0	4.7819299647895095e-14
133.0	4.795205231470894e-14
134.0	4.80827747620171e-14
135.0	4.821150397026583e-14
136.0	4.8338275608068886e-14
137.0	4.8463123328273626e-14
138.0	4.858608237809564e-14
139.0	4.870718474520712e-14
140.0	4.8826466968600254e-14
141.0	4.8943955639452094e-14
142.0	4.905968630413358e-14
143.0	4.9173689239773204e-14
144.0	4.9285993234925674e-14
145.0	4.9396629030477405e-14
146.0	4.9505626817190226e-14
147.0	4.961301088114365e-14
148.0	4.9718814480730896e-14
149.0	4.9823060837566686e-14
150.0	4.992578247914997e-14
