Energy (eV)	Rate coefficient (m3/s)
1.0	1.812780887933804e-23
2.0	6.784605416289418e-19
3.0	2.86241339516785e-17
4.0	2.0154931458303006e-16
5.0	6.77202352079487e-16
6.0	1.5567995341077301e-15
7.0	2.8667673314913722e-15
8.0	4.5818881444694e-15
9.0	6.650747725094247e-15
10.0	9.012986879288452e-15
11.0	1.160896299370734e-14
12.0	1.4384411139828434e-14
13.0	1.729221057962953e-14
14.0	2.029262224274581e-14
15.0	2.3352780825085074e-14
16.0	2.6445896050944177e-14
17.0	2.9550367662994956e-14
18.0	3.264894933385782e-14
19.0	3.5728001700753204e-14
20.0	3.877684178612268e-14
21.0	4.178719798553826e-14
22.0	4.475275846211537e-14
23.0	4.7668794078984165e-14
24.0	5.05318614241796e-14
25.0	5.333953721338782e-14
26.0	5.6090231901145947e-14
27.0	5.878301175895116e-14
28.0	6.141747495158965e-14
29.0	6.399363528051565e-14
30.0	6.65118388693341e-14
31.0	6.897269009715472e-14
32.0	7.137699222419584e-14
33.0	7.372570523879023e-14
34.0	7.601990400734573e-14
35.0	7.826074912609361e-14
36.0	8.044945406463994e-14
37.0	8.258728242122713e-14
38.0	8.467551753416172e-14
39.0	8.671544643081962e-14
40.0	8.87083679205827e-14
41.0	9.065556276944226e-14
42.0	9.255830309294263e-14
43.0	9.441783772809988e-14
44.0	9.62353937637436e-14
45.0	9.801217246815006e-14
46.0	9.974934527048766e-14
47.0	1.0144805071849379e-13
48.0	1.0310940118544614e-13
49.0	1.0473447423253859e-13
50.0	1.0632431781711834e-13
51.0	1.0787994512087477e-13
52.0	1.0940233743437916e-13
53.0	1.1089244180447392e-13
54.0	1.1235118528951468e-13
55.0	1.1377945433690455e-13
56.0	1.1517810968344687e-13
57.0	1.165479758059487e-13
58.0	1.1788987193652733e-13
59.0	1.192045578366736e-13
60.0	1.2049279186392427e-13
61.0	1.2175529652021705e-13
62.0	1.2299277052406606e-13
63.0	1.2420589178241739e-13
64.0	1.253953140022236e-13
65.0	1.2656166541968273e-13
66.0	1.277055574455135e-13
67.0	1.2882757836437994e-13
68.0	1.2992829935330646e-13
69.0	1.3100827420745526e-13
70.0	1.3206802564635464e-13
71.0	1.3310807814946764e-13
72.0	1.341289257093904e-13
73.0	1.3513104947724972e-13
74.0	1.3611491603997948e-13
75.0	1.3708097684319536e-13
76.0	1.3802966790444189e-13
77.0	1.389614113757525e-13
78.0	1.3987661760474807e-13
79.0	1.4077568101219016e-13
80.0	1.4165898495882525e-13
81.0	1.4252690516358594e-13
82.0	1.433797997400267e-13
83.0	1.442180182317783e-13
84.0	1.45041896329589e-13
85.0	1.458517640987235e-13
86.0	1.4664794464455507e-13
87.0	1.474307407110892e-13
88.0	1.482004556040024e-13
89.0	1.4895738049660763e-13
90.0	1.4970179518995374e-13
91.0	1.504339761681714e-13
92.0	1.5115419308196223e-13
93.0	1.5186269580973482e-13
94.0	1.525597420538085e-13
95.0	1.5324557621819872e-13
96.0	1.5392043851305534e-13
97.0	1.545845489843532e-13
98.0	1.552381410909917e-13
99.0	1.5588143381518523e-13
100.0	1.5651463435178553e-13
101.0	1.5713795271785667e-13
102.0	1.5775159284096463e-13
103.0	1.5835573823125218e-13
104.0	1.5895059190071057e-13
105.0	1.5953633429167475e-13
106.0	1.601131475949462e-13
107.0	1.6068120648862554e-13
108.0	1.612406855568165e-13
109.0	1.617917432917833e-13
110.0	1.6233455040527289e-13
111.0	1.6286926132179943e-13
112.0	1.6339603507159467e-13
113.0	1.639150186251384e-13
114.0	1.644263583691416e-13
115.0	1.6493020077194366e-13
116.0	1.6542668475134712e-13
117.0	1.6591594431451868e-13
118.0	1.6639810801665586e-13
119.0	1.6687332406012045e-13
120.0	1.6734170938288283e-13
121.0	1.6780336994404062e-13
122.0	1.6825845080443986e-13
123.0	1.6870706061845215e-13
124.0	1.6914931706730362e-13
125.0	1.6958532952815703e-13
126.0	1.7001520964539706e-13
127.0	1.704390658810996e-13
128.0	1.7085700010300815e-13
129.0	1.7126912066253473e-13
130.0	1.716755241592744e-13
131.0	1.7207630876682161e-13
132.0	1.7247157143142873e-13
133.0	1.728614049785295e-13
134.0	1.7324580649221066e-13
135.0	1.7362514929066477e-13
136.0	1.7399923815899492e-13
137.0	1.7436825785073272e-13
138.0	1.7473229304919626e-13
139.0	1.750914128741834e-13
140.0	1.7544570446016682e-13
141.0	1.7579525282471436e-13
142.0	1.761401325579759e-13
143.0	1.7648041754849228e-13
144.0	1.7681618145618804e-13
145.0	1.7714749591536497e-13
146.0	1.7747443594385757e-13
147.0	1.7779707105030382e-13
148.0	1.7811546088572647e-13
149.0	1.784296992065119e-13
150.0	1.787398002123499e-13
