Ionization energy (eV): 38.3594455
Energy (eV)	Rate coefficient (m3/s)
1.0	1.9958422319029016e-41
2.0	2.237281439885362e-28
3.0	5.772880330975309e-24
4.0	1.0293963240494288e-21
5.0	2.461432721930565e-20
6.0	2.1243095861470705e-19
7.0	1.0151551876322854e-18
8.0	3.335146126229038e-18
9.0	8.507321146886105e-18
10.0	1.813933160005765e-17
11.0	3.390117036536506e-17
12.0	5.733918446816768e-17
13.0	8.974873846615192e-17
14.0	1.3210861750124348e-16
15.0	1.8506508832657237e-16
16.0	2.489496619005077e-16
17.0	3.2381622405593287e-16
18.0	4.094868595469918e-16
19.0	5.055991998409786e-16
20.0	6.116509327235877e-16
21.0	7.270393278447993e-16
22.0	8.510948727858628e-16
23.0	9.831089350056633e-16
24.0	1.1223560187603637e-15
25.0	1.2681110130694377e-15
26.0	1.4196623239098807e-15
27.0	1.5763215469188299e-15
28.0	1.737430256228938e-15
29.0	1.9023649012750634e-15
30.0	2.070538965161489e-15
31.0	2.2414050091353714e-15
32.0	2.4144545779198937e-15
33.0	2.5892180428872264e-15
34.0	2.765263453441319e-15
35.0	2.9421949633367452e-15
36.0	3.1196518207431442e-15
37.0	3.297305132684372e-15
38.0	3.4748576380852767e-15
39.0	3.652040223462485e-15
40.0	3.8286108727457664e-15
41.0	4.004351980863714e-15
42.0	4.1790694240302545e-15
43.0	4.352590079189495e-15
44.0	4.524760060546291e-15
45.0	4.6954433682012155e-15
46.0	4.864520818309684e-15
47.0	5.031887591996052e-15
48.0	5.19745290660309e-15
49.0	5.361138307883687e-15
50.0	5.52287660489954e-15
51.0	5.68261171288021e-15
52.0	5.840294030366531e-15
53.0	5.995886479602972e-15
54.0	6.1493572563961764e-15
55.0	6.300681633251713e-15
56.0	6.449841612084549e-15
57.0	6.5968244118961745e-15
58.0	6.741623046723166e-15
59.0	6.884233085981271e-15
60.0	7.024657904813194e-15
61.0	7.162900637566321e-15
62.0	7.298969950196663e-15
63.0	7.432876784122927e-15
64.0	7.564634361133058e-15
65.0	7.694258749209173e-15
66.0	7.821767691064494e-15
67.0	7.947181008185613e-15
68.0	8.070519736913217e-15
69.0	8.191806408227183e-15
70.0	8.311064465516724e-15
71.0	8.428318966811628e-15
72.0	8.543595212950597e-15
73.0	8.65691947717515e-15
74.0	8.768318416503011e-15
75.0	8.877820086793063e-15
76.0	8.985451310660983e-15
77.0	9.091240520936267e-15
78.0	9.19521584108062e-15
79.0	9.297405596715717e-15
80.0	9.39783808918486e-15
81.0	9.496541889414605e-15
82.0	9.593545347499422e-15
83.0	9.68887468342476e-15
84.0	9.782564063010214e-15
85.0	9.874635413634495e-15
86.0	9.965119590919623e-15
87.0	1.005404122640569e-14
88.0	1.0141430520365362e-14
89.0	1.02273133811396e-14
90.0	1.0311716577444093e-14
91.0	1.0394666663743231e-14
92.0	1.0476189124912446e-14
93.0	1.0556310243196906e-14
94.0	1.0635055600466172e-14
95.0	1.0712449550813328e-14
96.0	1.0788517001529202e-14
97.0	1.0863281912885787e-14
98.0	1.0936768811638055e-14
99.0	1.1009000477063289e-14
100.0	1.1080000231894536e-14
101.0	1.1149790746978633e-14
102.0	1.1218394564993163e-14
103.0	1.1285551296188309e-14
104.0	1.1352128528450398e-14
105.0	1.1417301774728325e-14
106.0	1.148137287074888e-14
107.0	1.1544362904655433e-14
108.0	1.1606292111029431e-14
109.0	1.1667179504480101e-14
110.0	1.1727044888062837e-14
111.0	1.178590645709286e-14
112.0	1.1843782517011161e-14
113.0	1.1900693512661565e-14
114.0	1.1956654995006293e-14
115.0	1.2011684716807075e-14
116.0	1.2065800402493666e-14
117.0	1.2119018203910216e-14
118.0	1.2171355450850853e-14
119.0	1.2222827290450703e-14
120.0	1.227344998247393e-14
121.0	1.2323239728020895e-14
122.0	1.2372210588649142e-14
123.0	1.2420378235426571e-14
124.0	1.2467756764774217e-14
125.0	1.2514360598564506e-14
126.0	1.2560203934130318e-14
127.0	1.2605300519571846e-14
128.0	1.264966335760114e-14
129.0	1.2693306193237287e-14
130.0	1.2736241444137345e-14
131.0	1.277848224355134e-14
132.0	1.2820040660665346e-14
133.0	1.2860928762283894e-14
134.0	1.2901158888139334e-14
135.0	1.2940742348363357e-14
136.0	1.297969067153231e-14
137.0	1.3018015214106752e-14
138.0	1.3055726902301627e-14
139.0	1.3092836275483997e-14
140.0	1.3129353231278622e-14
141.0	1.3165290030256698e-14
142.0	1.3200655272945618e-14
143.0	1.3235459067038133e-14
144.0	1.3269711728102232e-14
145.0	1.3303422024403502e-14
146.0	1.3336599947171708e-14
147.0	1.3369253954032281e-14
148.0	1.3401393895766034e-14
149.0	1.3433029860055654e-14
150.0	1.3464165292107604e-14
