Ionization energy (eV): 15.581
Energy (eV)	Rate coefficient (m^3/s)
0.0	0.000000e+00
1.0	0.000000e+00
2.0	0.000000e+00
3.0	2.155251e-18
4.0	3.640500e-17
5.0	1.544612e-16
6.0	3.978983e-16
7.0	7.878970e-16
8.0	1.337299e-15
9.0	2.037048e-15
10.0	2.878742e-15
11.0	3.837536e-15
12.0	4.899838e-15
13.0	6.046728e-15
14.0	7.264610e-15
15.0	8.538586e-15
16.0	9.855735e-15
17.0	1.120531e-14
18.0	1.258397e-14
19.0	1.398022e-14
20.0	1.538603e-14
21.0	1.679414e-14
22.0	1.820230e-14
23.0	1.960589e-14
24.0	2.100584e-14
25.0	2.239512e-14
26.0	2.377479e-14
27.0	2.513988e-14
28.0	2.648676e-14
29.0	2.781763e-14
30.0	2.913500e-14
31.0	3.043631e-14
32.0	3.171905e-14
33.0	3.298375e-14
34.0	3.422926e-14
35.0	3.545540e-14
36.0	3.666071e-14
37.0	3.784758e-14
38.0	3.901638e-14
39.0	4.016858e-14
40.0	4.130198e-14
41.0	4.241476e-14
42.0	4.350920e-14
43.0	4.458774e-14
44.0	4.564863e-14
45.0	4.669248e-14
46.0	4.771736e-14
47.0	4.872556e-14
48.0	4.971610e-14
49.0	5.068959e-14
50.0	5.164581e-14
51.0	5.258773e-14
52.0	5.351448e-14
53.0	5.442543e-14
54.0	5.532215e-14
55.0	5.620469e-14
56.0	5.707295e-14
57.0	5.792673e-14
58.0	5.876700e-14
59.0	5.959491e-14
60.0	6.040999e-14
61.0	6.121241e-14
62.0	6.200195e-14
63.0	6.278032e-14
64.0	6.354730e-14
65.0	6.430139e-14
66.0	6.504359e-14
67.0	6.577315e-14
68.0	6.649181e-14
69.0	6.720064e-14
70.0	6.789882e-14
71.0	6.858744e-14
72.0	6.926651e-14
73.0	6.993688e-14
74.0	7.059747e-14
75.0	7.124801e-14
76.0	7.188908e-14
77.0	7.252243e-14
78.0	7.314626e-14
79.0	7.376153e-14
80.0	7.436913e-14
81.0	7.496928e-14
82.0	7.556159e-14
83.0	7.614562e-14
84.0	7.672075e-14
85.0	7.728846e-14
86.0	7.784889e-14
87.0	7.840171e-14
88.0	7.894708e-14
89.0	7.948623e-14
90.0	8.001865e-14
91.0	8.054491e-14
92.0	8.106517e-14
93.0	8.157942e-14
94.0	8.208790e-14
95.0	8.259022e-14
96.0	8.308669e-14
97.0	8.357749e-14
98.0	8.406328e-14
99.0	8.454442e-14
100.0	8.502026e-14
101.0	8.549172e-14
102.0	8.595832e-14
103.0	8.641970e-14
104.0	8.687562e-14
105.0	8.732607e-14
106.0	8.777155e-14
107.0	8.821259e-14
108.0	8.864898e-14
109.0	8.908046e-14
110.0	8.950767e-14
111.0	8.993055e-14
112.0	9.034872e-14
113.0	9.076302e-14
114.0	9.117360e-14
115.0	9.158028e-14
116.0	9.198277e-14
117.0	9.238143e-14
118.0	9.277646e-14
119.0	9.316813e-14
120.0	9.355655e-14
121.0	9.394182e-14
122.0	9.432291e-14
123.0	9.470120e-14
124.0	9.507654e-14
125.0	9.544848e-14
126.0	9.581756e-14
127.0	9.618367e-14
128.0	9.654680e-14
129.0	9.690699e-14
130.0	9.726483e-14
131.0	9.761997e-14
132.0	9.797262e-14
133.0	9.832275e-14
134.0	9.867081e-14
135.0	9.901607e-14
136.0	9.935886e-14
137.0	9.969948e-14
138.0	1.000376e-13
139.0	1.003731e-13
140.0	1.007057e-13
141.0	1.010358e-13
142.0	1.013636e-13
143.0	1.016896e-13
144.0	1.020133e-13
145.0	1.023350e-13
146.0	1.026549e-13
147.0	1.029723e-13
148.0	1.032880e-13
149.0	1.036023e-13
150.0	1.039142e-13
151.0	1.042241e-13
152.0	1.045319e-13
153.0	1.048379e-13
154.0	1.051424e-13
155.0	1.054449e-13
156.0	1.057457e-13
157.0	1.060450e-13
158.0	1.063418e-13
159.0	1.066364e-13
160.0	1.069293e-13
161.0	1.072212e-13
162.0	1.075118e-13
163.0	1.078008e-13
164.0	1.080886e-13
165.0	1.083746e-13
166.0	1.086594e-13
167.0	1.089428e-13
168.0	1.092251e-13
169.0	1.095061e-13
170.0	1.097857e-13
171.0	1.100640e-13
172.0	1.103411e-13
173.0	1.106164e-13
174.0	1.108903e-13
175.0	1.111631e-13
176.0	1.114344e-13
177.0	1.117043e-13
178.0	1.119731e-13
179.0	1.122413e-13
180.0	1.125084e-13
181.0	1.127744e-13
182.0	1.130391e-13
183.0	1.133027e-13
184.0	1.135651e-13
185.0	1.138264e-13
186.0	1.140865e-13
187.0	1.143457e-13
188.0	1.146040e-13
189.0	1.148608e-13
190.0	1.151165e-13
191.0	1.153714e-13
192.0	1.156252e-13
193.0	1.158776e-13
194.0	1.161291e-13
195.0	1.163794e-13
196.0	1.166289e-13
197.0	1.168775e-13
198.0	1.171250e-13
199.0	1.173715e-13
200.0	1.176173e-13
201.0	1.178621e-13
202.0	1.181063e-13
203.0	1.183494e-13
204.0	1.185919e-13
205.0	1.188336e-13
206.0	1.190747e-13
207.0	1.193146e-13
208.0	1.195538e-13
209.0	1.197920e-13
210.0	1.200293e-13
211.0	1.202657e-13
212.0	1.205015e-13
213.0	1.207366e-13
214.0	1.209711e-13
215.0	1.212049e-13
216.0	1.214380e-13
217.0	1.216704e-13
218.0	1.219021e-13
219.0	1.221333e-13
220.0	1.223635e-13
221.0	1.225929e-13
222.0	1.228216e-13
223.0	1.230498e-13
224.0	1.232776e-13
225.0	1.235047e-13
226.0	1.237314e-13
227.0	1.239574e-13
