Ionization energy (eV): 20.975
Energy (eV)	Rate coefficient (m3/s)
0.3878E-01	0.000
5.045	0.1208E-15
10.09	0.4100E-14
15.14	0.1363E-13
20.18	0.2503E-13
25.23	0.3610E-13
30.27	0.4606E-13
35.32	0.5478E-13
40.36	0.6232E-13
45.41	0.6883E-13
50.45	0.7445E-13
55.50	0.7931E-13
60.55	0.8353E-13
65.59	0.8721E-13
70.64	0.9042E-13
75.68	0.9325E-13
80.73	0.9573E-13
85.77	0.9792E-13
90.82	0.9986E-13
95.86	0.1016E-12
100.9	0.1031E-12
106.0	0.1045E-12
111.0	0.1057E-12
116.0	0.1067E-12
121.1	0.1077E-12
126.1	0.1086E-12
131.2	0.1093E-12
136.2	0.1100E-12
141.3	0.1106E-12
146.3	0.1111E-12
151.4	0.1116E-12
156.4	0.1120E-12
161.5	0.1124E-12
166.5	0.1128E-12
171.5	0.1130E-12
176.6	0.1133E-12
181.6	0.1135E-12
186.7	0.1137E-12
191.7	0.1139E-12
196.8	0.1140E-12
201.8	0.1141E-12
206.9	0.1142E-12
211.9	0.1143E-12
217.0	0.1143E-12
222.0	0.1143E-12
227.0	0.1144E-12
232.1	0.1144E-12
237.1	0.1144E-12
242.2	0.1143E-12
247.2	0.1143E-12
252.3	0.1143E-12
257.3	0.1142E-12
262.4	0.1142E-12
267.4	0.1141E-12
272.5	0.1140E-12
277.5	0.1139E-12
282.5	0.1138E-12
287.6	0.1137E-12
292.6	0.1136E-12
297.7	0.1135E-12
302.7	0.1134E-12
307.8	0.1133E-12
312.8	0.1132E-12
317.9	0.1131E-12
322.9	0.1130E-12
328.0	0.1128E-12
333.0	0.1127E-12
338.0	0.1126E-12
343.1	0.1124E-12
348.1	0.1123E-12
353.2	0.1121E-12
358.2	0.1120E-12
363.3	0.1119E-12
368.3	0.1117E-12
373.4	0.1116E-12
378.4	0.1114E-12
383.5	0.1113E-12
388.5	0.1111E-12
393.5	0.1110E-12
398.6	0.1108E-12
403.6	0.1107E-12
408.7	0.1105E-12
413.7	0.1103E-12
418.8	0.1102E-12
423.8	0.1100E-12
428.9	0.1099E-12
433.9	0.1097E-12
439.0	0.1096E-12
444.0	0.1094E-12
449.0	0.1093E-12
454.1	0.1091E-12
459.1	0.1089E-12
464.2	0.1088E-12
469.2	0.1086E-12
474.3	0.1085E-12
479.3	0.1083E-12
484.4	0.1082E-12
489.4	0.1080E-12
494.5	0.1078E-12
499.5	0.1077E-12
