Ionization energy (eV): 31.05
Energy (eV)	Rate coefficient (m3/s)
0.3878E-01	0.000
5.045	0.6044E-17
10.09	0.8834E-15
15.14	0.4724E-14
20.18	0.1091E-13
25.23	0.1796E-13
30.27	0.2493E-13
35.32	0.3138E-13
40.36	0.3716E-13
45.41	0.4225E-13
50.45	0.4669E-13
55.50	0.5055E-13
60.55	0.5389E-13
65.59	0.5679E-13
70.64	0.5929E-13
75.68	0.6145E-13
80.73	0.6332E-13
85.77	0.6494E-13
90.82	0.6634E-13
95.86	0.6754E-13
100.9	0.6858E-13
106.0	0.6947E-13
111.0	0.7023E-13
116.0	0.7088E-13
121.1	0.7143E-13
126.1	0.7189E-13
131.2	0.7227E-13
136.2	0.7259E-13
141.3	0.7284E-13
146.3	0.7304E-13
151.4	0.7319E-13
156.4	0.7330E-13
161.5	0.7337E-13
166.5	0.7340E-13
171.5	0.7340E-13
176.6	0.7338E-13
181.6	0.7333E-13
186.7	0.7326E-13
191.7	0.7317E-13
196.8	0.7306E-13
201.8	0.7294E-13
206.9	0.7280E-13
211.9	0.7265E-13
217.0	0.7249E-13
222.0	0.7232E-13
227.0	0.7214E-13
232.1	0.7195E-13
237.1	0.7175E-13
242.2	0.7155E-13
247.2	0.7134E-13
252.3	0.7113E-13
257.3	0.7091E-13
262.4	0.7069E-13
267.4	0.7046E-13
272.5	0.7023E-13
277.5	0.7000E-13
282.5	0.6977E-13
287.6	0.6954E-13
292.6	0.6930E-13
297.7	0.6907E-13
302.7	0.6883E-13
307.8	0.6859E-13
312.8	0.6836E-13
317.9	0.6812E-13
322.9	0.6788E-13
328.0	0.6764E-13
333.0	0.6741E-13
338.0	0.6717E-13
343.1	0.6693E-13
348.1	0.6670E-13
353.2	0.6646E-13
358.2	0.6623E-13
363.3	0.6600E-13
368.3	0.6576E-13
373.4	0.6553E-13
378.4	0.6530E-13
383.5	0.6508E-13
388.5	0.6485E-13
393.5	0.6462E-13
398.6	0.6440E-13
403.6	0.6418E-13
408.7	0.6396E-13
413.7	0.6374E-13
418.8	0.6352E-13
423.8	0.6330E-13
428.9	0.6309E-13
433.9	0.6287E-13
439.0	0.6266E-13
444.0	0.6245E-13
449.0	0.6224E-13
454.1	0.6204E-13
459.1	0.6183E-13
464.2	0.6163E-13
469.2	0.6142E-13
474.3	0.6122E-13
479.3	0.6103E-13
484.4	0.6083E-13
489.4	0.6063E-13
494.5	0.6044E-13
499.5	0.6024E-13
