Energy (eV)	Rate coefficient (m3/s)
0.3878E-01	0.000
5.045	0.1876E-14
10.09	0.1800E-13
15.14	0.4178E-13
20.18	0.6587E-13
25.23	0.8806E-13
30.27	0.1079E-12
35.32	0.1255E-12
40.36	0.1412E-12
45.41	0.1552E-12
50.45	0.1677E-12
55.50	0.1791E-12
60.55	0.1893E-12
65.59	0.1986E-12
70.64	0.2071E-12
75.68	0.2149E-12
80.73	0.2221E-12
85.77	0.2287E-12
90.82	0.2349E-12
95.86	0.2406E-12
100.9	0.2460E-12
106.0	0.2510E-12
111.0	0.2556E-12
116.0	0.2600E-12
121.1	0.2641E-12
126.1	0.2680E-12
131.2	0.2717E-12
136.2	0.2752E-12
141.3	0.2784E-12
146.3	0.2816E-12
151.4	0.2845E-12
156.4	0.2873E-12
161.5	0.2900E-12
166.5	0.2926E-12
171.5	0.2950E-12
176.6	0.2973E-12
181.6	0.2995E-12
186.7	0.3017E-12
191.7	0.3037E-12
196.8	0.3056E-12
201.8	0.3075E-12
206.9	0.3093E-12
211.9	0.3110E-12
217.0	0.3127E-12
222.0	0.3143E-12
227.0	0.3158E-12
232.1	0.3173E-12
237.1	0.3187E-12
242.2	0.3201E-12
247.2	0.3214E-12
252.3	0.3227E-12
257.3	0.3239E-12
262.4	0.3251E-12
267.4	0.3262E-12
272.5	0.3273E-12
277.5	0.3284E-12
282.5	0.3294E-12
287.6	0.3304E-12
292.6	0.3314E-12
297.7	0.3323E-12
302.7	0.3332E-12
307.8	0.3341E-12
312.8	0.3349E-12
317.9	0.3358E-12
322.9	0.3365E-12
328.0	0.3373E-12
333.0	0.3380E-12
338.0	0.3388E-12
343.1	0.3394E-12
348.1	0.3401E-12
353.2	0.3408E-12
358.2	0.3414E-12
363.3	0.3420E-12
368.3	0.3426E-12
373.4	0.3432E-12
378.4	0.3437E-12
383.5	0.3442E-12
388.5	0.3448E-12
393.5	0.3453E-12
398.6	0.3457E-12
403.6	0.3462E-12
408.7	0.3467E-12
413.7	0.3471E-12
418.8	0.3475E-12
423.8	0.3479E-12
428.9	0.3483E-12
433.9	0.3487E-12
439.0	0.3491E-12
444.0	0.3494E-12
449.0	0.3498E-12
454.1	0.3501E-12
459.1	0.3504E-12
464.2	0.3507E-12
469.2	0.3510E-12
474.3	0.3513E-12
479.3	0.3516E-12
484.4	0.3519E-12
489.4	0.3521E-12
494.5	0.3524E-12
499.5	0.3526E-12
