Energy (eV)	Rate coefficient (m3/s)
0.3878E-01	0.000
5.045	0.4119E-18
10.09	0.9801E-16
15.14	0.6709E-15
20.18	0.1815E-14
25.23	0.3345E-14
30.27	0.5059E-14
35.32	0.6820E-14
40.36	0.8542E-14
45.41	0.1018E-13
50.45	0.1172E-13
55.50	0.1314E-13
60.55	0.1444E-13
65.59	0.1564E-13
70.64	0.1674E-13
75.68	0.1773E-13
80.73	0.1865E-13
85.77	0.1948E-13
90.82	0.2023E-13
95.86	0.2092E-13
100.9	0.2155E-13
106.0	0.2212E-13
111.0	0.2265E-13
116.0	0.2312E-13
121.1	0.2356E-13
126.1	0.2395E-13
131.2	0.2432E-13
136.2	0.2465E-13
141.3	0.2495E-13
146.3	0.2522E-13
151.4	0.2547E-13
156.4	0.2569E-13
161.5	0.2590E-13
166.5	0.2609E-13
171.5	0.2626E-13
176.6	0.2641E-13
181.6	0.2655E-13
186.7	0.2667E-13
191.7	0.2678E-13
196.8	0.2688E-13
201.8	0.2697E-13
206.9	0.2705E-13
211.9	0.2711E-13
217.0	0.2717E-13
222.0	0.2723E-13
227.0	0.2727E-13
232.1	0.2731E-13
237.1	0.2734E-13
242.2	0.2736E-13
247.2	0.2738E-13
252.3	0.2740E-13
257.3	0.2741E-13
262.4	0.2741E-13
267.4	0.2741E-13
272.5	0.2741E-13
277.5	0.2740E-13
282.5	0.2739E-13
287.6	0.2738E-13
292.6	0.2736E-13
297.7	0.2734E-13
302.7	0.2732E-13
307.8	0.2730E-13
312.8	0.2727E-13
317.9	0.2724E-13
322.9	0.2721E-13
328.0	0.2718E-13
333.0	0.2714E-13
338.0	0.2711E-13
343.1	0.2707E-13
348.1	0.2703E-13
353.2	0.2699E-13
358.2	0.2695E-13
363.3	0.2691E-13
368.3	0.2687E-13
373.4	0.2682E-13
378.4	0.2678E-13
383.5	0.2673E-13
388.5	0.2669E-13
393.5	0.2664E-13
398.6	0.2659E-13
403.6	0.2654E-13
408.7	0.2650E-13
413.7	0.2645E-13
418.8	0.2640E-13
423.8	0.2635E-13
428.9	0.2630E-13
433.9	0.2625E-13
439.0	0.2620E-13
444.0	0.2615E-13
449.0	0.2610E-13
454.1	0.2604E-13
459.1	0.2599E-13
464.2	0.2594E-13
469.2	0.2589E-13
474.3	0.2584E-13
479.3	0.2579E-13
484.4	0.2573E-13
489.4	0.2568E-13
494.5	0.2563E-13
499.5	0.2558E-13
