Ionization energy (eV): 64.1548427
Energy (eV)	Rate coefficient (m3/s)
0.3878E-01	0.000
5.045	0.3853E-23
10.09	0.1584E-18
15.14	0.6108E-17
20.18	0.4020E-16
25.23	0.1280E-15
30.27	0.2814E-15
35.32	0.4982E-15
40.36	0.7688E-15
45.41	0.1081E-14
50.45	0.1424E-14
55.50	0.1785E-14
60.55	0.2158E-14
65.59	0.2536E-14
70.64	0.2912E-14
75.68	0.3284E-14
80.73	0.3649E-14
85.77	0.4004E-14
90.82	0.4348E-14
95.86	0.4681E-14
100.9	0.5001E-14
106.0	0.5309E-14
111.0	0.5604E-14
116.0	0.5886E-14
121.1	0.6156E-14
126.1	0.6414E-14
131.2	0.6661E-14
136.2	0.6896E-14
141.3	0.7120E-14
146.3	0.7334E-14
151.4	0.7538E-14
156.4	0.7732E-14
161.5	0.7917E-14
166.5	0.8093E-14
171.5	0.8261E-14
176.6	0.8420E-14
181.6	0.8573E-14
186.7	0.8718E-14
191.7	0.8856E-14
196.8	0.8988E-14
201.8	0.9113E-14
206.9	0.9233E-14
211.9	0.9346E-14
217.0	0.9455E-14
222.0	0.9558E-14
227.0	0.9656E-14
232.1	0.9750E-14
237.1	0.9839E-14
242.2	0.9924E-14
247.2	0.1000E-13
252.3	0.1008E-13
257.3	0.1016E-13
262.4	0.1023E-13
267.4	0.1029E-13
272.5	0.1035E-13
277.5	0.1042E-13
282.5	0.1047E-13
287.6	0.1053E-13
292.6	0.1058E-13
297.7	0.1063E-13
302.7	0.1068E-13
307.8	0.1072E-13
312.8	0.1076E-13
317.9	0.1080E-13
322.9	0.1084E-13
328.0	0.1088E-13
333.0	0.1091E-13
338.0	0.1095E-13
343.1	0.1098E-13
348.1	0.1101E-13
353.2	0.1103E-13
358.2	0.1106E-13
363.3	0.1109E-13
368.3	0.1111E-13
373.4	0.1113E-13
378.4	0.1115E-13
383.5	0.1117E-13
388.5	0.1119E-13
393.5	0.1121E-13
398.6	0.1123E-13
403.6	0.1124E-13
408.7	0.1126E-13
413.7	0.1127E-13
418.8	0.1128E-13
423.8	0.1129E-13
428.9	0.1130E-13
433.9	0.1131E-13
439.0	0.1132E-13
444.0	0.1133E-13
449.0	0.1134E-13
454.1	0.1135E-13
459.1	0.1135E-13
464.2	0.1136E-13
469.2	0.1137E-13
474.3	0.1137E-13
479.3	0.1138E-13
484.4	0.1138E-13
489.4	0.1138E-13
494.5	0.1139E-13
499.5	0.1139E-13
